endTime;startTime;activity_probability;activity_probability2;activity_type;activity_start_latitude;activity_start_longitude;activity_end_latitude;activity_end_longitude;activity_distanceMeters
2024-04-03T08:01:51.685+02:00;2024-04-03T07:04:10.059+02:00;0.933483;0.403448;in tram;47.382267;8.50113;47.467446;8.328152;16264.6416
2024-04-03T18:14:17.990+02:00;2024-04-03T17:12:32.905+02:00;0.946922;0;in bus;47.453595;8.334517;47.376704;8.514095;17767.68359
2024-04-04T16:35:41.572+02:00;2024-04-04T16:22:22.005+02:00;0.677718;0.406006;walking;47.389677;8.492519;47.387144;8.489875;369.249023
2024-04-04T16:48:22.516+02:00;2024-04-04T16:35:41.572+02:00;0.981384;0.747832;in tram;47.387144;8.489875;47.375524;8.517361;2444.409912
2024-04-04T18:19:52.228+02:00;2024-04-04T18:06:40.472+02:00;0.994088;0.556662;in bus;47.377859;8.509823;47.394705;8.524302;2214.777588
2024-04-04T21:21:39.901+02:00;2024-04-04T18:19:52.228+02:00;0.823925;0.665998;walking;47.401794;8.521465;47.394875;8.524559;876.646057
2024-04-05T16:31:18.045+02:00;2024-04-05T16:26:13.001+02:00;0.997488;0.500534;in tram;47.379531;8.507273;47.374283;8.521198;1201.873169
2024-04-06T12:28:54.181+02:00;2024-04-06T12:12:29.177+02:00;0.960363;0.86027;walking;47.390428;8.510226;47.391539;8.511104;976.584045
2024-04-06T16:31:03.602+02:00;2024-04-06T16:05:47.017+02:00;0.971234;0;cycling;47.393562;8.513191;47.375553;8.516375;3427.308105
2024-04-07T08:54:46.999+02:00;2024-04-06T17:26:18.060+02:00;0.955067;0;cycling;47.373503;8.519742;47.369734;8.509402;26201.39258
2024-04-07T10:47:48.709+02:00;2024-04-07T09:42:38.029+02:00;0.976322;0.75814;in train;47.291464;8.571086;47.052682;8.54953;29344.12891
2024-04-07T16:18:16.542+02:00;2024-04-07T10:47:48.709+02:00;0.912926;0.837832;walking;47.08121;8.561092;47.080526;8.634437;6312.637695
2024-04-07T18:00:38.585+02:00;2024-04-07T16:18:16.542+02:00;0.957445;0.316022;in subway;47.080603;8.634318;47.379985;8.52819;44847.34375
2024-04-08T08:01:33.767+02:00;2024-04-08T07:39:46.081+02:00;0.88321;0;in bus;47.45955;8.315347;47.467302;8.3282;1294.80896
2024-04-08T13:20:47.453+02:00;2024-04-08T08:30:34.784+02:00;0.948373;0;in train;47.467308;8.328144;47.558935;7.598162;55769.875
2024-04-08T19:16:06.422+02:00;2024-04-08T15:51:09.049+02:00;0.853861;0.398783;walking;47.576479;7.587564;47.561854;7.592854;3625.137207
2024-04-08T20:43:48.827+02:00;2024-04-08T19:16:06.422+02:00;0.968813;0.242103;in passenger vehicle;47.561854;7.592854;47.374491;8.521237;72858.15625
2024-04-09T10:40:09.397+02:00;2024-04-09T09:11:13.871+02:00;0.988921;0.323228;in passenger vehicle;47.374436;8.520986;47.550278;7.593773;72394.23438
2024-04-09T14:01:28.730+02:00;2024-04-09T10:40:09.397+02:00;0.919153;0.557011;walking;47.550278;7.593773;47.569369;7.603459;8195.745117
2024-04-09T14:14:38.266+02:00;2024-04-09T14:01:28.730+02:00;0.854359;0.381894;in ferry;47.581275;7.601345;47.582039;7.598389;237.393127
2024-04-09T14:50:07.712+02:00;2024-04-09T14:14:38.266+02:00;0.998876;0.465837;in passenger vehicle;47.582039;7.598389;47.505928;8.050206;35198.55469
2024-04-09T20:12:08.636+02:00;2024-04-09T15:11:30.003+02:00;0.871325;0.517686;in passenger vehicle;47.505516;8.050697;47.14214;8.429951;59346.31641
2024-04-09T20:41:13.528+02:00;2024-04-09T20:15:05.349+02:00;0.985397;0.360703;in passenger vehicle;47.141429;8.430715;47.173704;8.400932;4284.742676
2024-04-10T00:14:23.999+02:00;2024-04-09T23:37:25.999+02:00;0.99356;0.931084;in passenger vehicle;47.297681;8.317012;47.390325;8.172282;15985.34961
2024-04-10T10:22:22.147+02:00;2024-04-10T09:09:52.857+02:00;0.961746;0.425043;in passenger vehicle;47.393316;8.474342;47.467353;8.328584;13939.75586
2024-04-10T14:48:50.383+02:00;2024-04-10T14:10:27.598+02:00;0.96039;0.675633;in passenger vehicle;47.465727;8.326106;47.385306;8.523178;17313.5957
2024-04-10T19:38:33.138+02:00;2024-04-10T19:37:57.692+02:00;0.899499;0.266091;in tram;47.374225;8.520535;47.374446;8.520675;51.660889
2024-04-11T12:31:30.855+02:00;2024-04-11T12:31:06.514+02:00;0.754154;0.652364;walking;47.375873;8.527169;47.375802;8.527155;8.028176
2024-04-11T19:26:21.438+02:00;2024-04-11T19:13:11.080+02:00;0.954708;0.646688;walking;47.376346;8.516345;47.379329;8.515943;333.0961
2024-04-11T22:51:04.001+02:00;2024-04-11T20:05:01.953+02:00;0.713235;0;walking;47.379048;8.515472;47.376426;8.516645;304.664246
2024-04-12T11:06:38.300+02:00;2024-04-11T22:51:04.001+02:00;0.785411;0;in train;47.373136;8.518745;47.218731;8.680363;21055.37695
2024-04-12T14:45:58.878+02:00;2024-04-12T14:36:27.047+02:00;0.99432;0;in train;47.218503;8.677663;47.229782;8.674951;1270.73584
2024-04-12T15:23:49.035+02:00;2024-04-12T14:45:58.878+02:00;0.987135;0.875702;in train;47.229797;8.674981;47.413342;8.546095;22603.54102
2024-04-13T10:19:13.124+02:00;2024-04-13T09:38:56.107+02:00;0.641495;0.610482;walking;47.401218;8.59862;47.40235;8.5972;262.586243
2024-04-13T13:32:46.182+02:00;2024-04-13T11:58:51.160+02:00;0.973272;0.377402;walking;47.402512;8.598186;47.377689;8.535859;6191.293457
